search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Potencia de salida (RMS),Marca,Modelo,Tipos de filtros del parlante,Peso,Conectores de entrada,Color
1, Parlante Bluetooth A Prueba De Agua 3w Rms Ideal Ducha Loi ,167,249,139,970,18 cuotas,9.28,NA,Envío a todo el país,NA,NA,4,9,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463417487-parlante-bluetooth-a-prueba-de-agua-3w-rms-ideal-ducha-loi-_JM,3,4,1,1,0,#463417487,3 W,NA,NA,NA,NA,NA,NA
2, Parlantes 2.1 Tower 5 Energy Sistem Bluetooth Aux Usb Sd Amv ,139,155,194,10,18 cuotas,280.32,NA,Envío a todo el país,NA,NA,4.8,19,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-452289064-parlantes-21-tower-5-energy-sistem-bluetooth-aux-usb-sd-amv-_JM,15,4,0,0,0,#452289064,NA,Energy Sistem,NA,NA,NA,NA,NA
3, Parlante Jbl Flip 4 Bluetooth Potencia Y Calidad Gtia 1 Año. ,3689,4058,1,998,18 cuotas,204.94,NA,Entrega a acordar con el vendedor,NA,NA,4.8,216,http://perfil.mercadolibre.com.uy/YAKOVSRL?brandId=567,https://articulo.mercadolibre.com.uy/MLU-465588311-parlante-jbl-flip-4-bluetooth-potencia-y-calidad-gtia-1-ano-_JM,182,28,4,1,1,#465588311,16 W,JBL,Flip 4,Activo,515 g,NA,NA
4, Parlante Portátil Bluetooth 3w Luces Led Usb Microsd Aux Loi ,187,197,62,987,18 cuotas,10.39,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462659823-parlante-portatil-bluetooth-3w-luces-led-usb-microsd-aux-loi-_JM,2,0,0,0,0,#462659823,3 W,NA,NA,NA,NA,NA,NA
5, Parlante Bluetooth Jbl Go 2 Portátil Potencia Calidad Febo ,1228,NA,1590,98409,18 cuotas,68.22,NA,Envío a todo el país,NA,NA,4.8,222,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600412-parlante-bluetooth-jbl-go-2-portatil-potencia-calidad-febo-_JM,188,30,2,2,0,#446600412,3 W,JBL,GO 2,Activo,184 g,NA,NA
6, Parlante Portátil Bluetooth Park Led Karaoke Batería Mic Loi ,37,42,72,2971,18 cuotas,74.62,NA,Envío a todo el país,NA,NA,4.6,7,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456920787-parlante-portatil-bluetooth-park-led-karaoke-bateria-mic-loi-_JM,4,3,0,0,0,#456920787,NA,Kolke,NA,NA,NA,NA,NA
7, Parlante Mini Bluetooth Portatil Craquelado Ahorro Y Compras ,190,NA,56,145,18 cuotas,10.56,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.uy/JESDEN+SA,https://articulo.mercadolibre.com.uy/MLU-451362894-parlante-mini-bluetooth-portatil-craquelado-ahorro-y-compras-_JM,0,1,0,0,0,#451362894,NA,NA,NA,NA,NA,USB,NA
8, Parlante Jbl Flip 4 Bluetooth Portátil Gtia 1 Año Solo Febo ,4275,NA,979,99020,18 cuotas,237.50,NA,Envío a todo el país,NA,NA,4.8,216,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600381-parlante-jbl-flip-4-bluetooth-portatil-gtia-1-ano-solo-febo-_JM,182,28,4,1,1,#446600381,16 W,JBL,Flip 4,Activo,515 g,NA,NA
9, Parlante Bluetooth Jbl Boombox Potencia Calidad Febo ,24950,NA,14,99985,18 cuotas,1.386.11,NA,Envío a todo el país,NA,NA,4.3,3,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-450750864-parlante-bluetooth-jbl-boombox-potencia-calidad-febo-_JM,2,0,1,0,0,#450750864,NA,JBL,Boombox,NA,NA,NA,NA
10, Parlante Portable T&g Bluetooth 10w Rms Oferta Loi ,697,NA,53,994,18 cuotas,38.72,NA,Envío a todo el país,NA,NA,4,4,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462663421-parlante-portable-tg-bluetooth-10w-rms-oferta-loi-_JM,1,2,1,0,0,#462663421,10 W,NA,NA,NA,NA,NA,NA
11, Parlante Bluetooth Portátil Jbl Charge 4 Potencia Calidad ,6550,NA,100,99899,18 cuotas,363.89,NA,Envío a todo el país,NA,NA,4.8,45,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-452532629-parlante-bluetooth-portatil-jbl-charge-4-potencia-calidad-_JM,37,7,0,0,1,#452532629,30 W,JBL,Charge 4,Activo,NA,NA,Agua
12, Parlante Portátil Bluetooth Con Radio Fm ,690,NA,124,105,18 cuotas,38.33,NA,Envío a todo el país,NA,NA,4.4,10,http://perfil.mercadolibre.com.uy/MERCADOFULL82,https://articulo.mercadolibre.com.uy/MLU-455532602-parlante-portatil-bluetooth-con-radio-fm-_JM,6,3,0,1,0,#455532602,NA,NA,NA,NA,1 kg,NA,NA
13, Parlante Bluetooth Kolke Shake A Batería Con Mic Oferta Loi ,34,39,19,984,18 cuotas,70.56,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-460487947-parlante-bluetooth-kolke-shake-a-bateria-con-mic-oferta-loi-_JM,1,0,0,0,0,#460487947,NA,Kolke,NA,NA,NA,NA,NA
