seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
LOi Tienda oficial,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,14,años,253492,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,288457,5145,16783,266529,"Centro, Montevideo.",NA,NA
CIRCUIT OFERTAS,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,3,años,18267,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,13321,92,400,12829,"Centro, Montevideo.",NA,NA
TMO TUMEJOROPCION,http://perfil.mercadolibre.com.uy/TMO+TUMEJOROPCION,11,meses,1055,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,547,8,10,529,"Paso Molino, Montevideo.",NA,NA
ELECTROVENTAS ONLINE,http://perfil.mercadolibre.com.uy/ELECTROVENTAS+ONLINE,11,años,170815,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,97827,360,3316,94151,"Centro, Montevideo.",NA,NA
TOPTECNOUY,http://perfil.mercadolibre.com.uy/TOPTECNOUY,14,años,117910,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,114823,652,5499,108672,"Ciudad Vieja, Montevideo.",NA,NA
FEBOUY,http://perfil.mercadolibre.com.uy/FEBOUY,12,años,79953,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,53703,109,1293,52301,"Centro, Montevideo.",NA,NA
ILUMINARÁS,http://perfil.mercadolibre.com.uy/ILUMINAR%C3%81S,2,años,2147,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1358,2,20,1336,"La Comercial, Montevideo.",NA,NA
TECNOCELL.UY,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,3,años,16691,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,9527,113,418,8996,"Centro, Montevideo.",NA,NA
MEGAOFERTAS.UY,http://perfil.mercadolibre.com.uy/MEGAOFERTAS.UY,3,años,10156,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,6223,70,215,5938,"Centro, Montevideo.",NA,NA
TUBELUXUY,http://perfil.mercadolibre.com.uy/TUBELUXUY,14,años,42167,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,41173,312,2596,38265,"Aguada, Montevideo.",NA,NA
EASYBUYSHOP,http://perfil.mercadolibre.com.uy/EASYBUYSHOP,2,años,1481,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,980,2,20,958,"Cordón, Montevideo.",NA,NA
LIDERTEK SRL,http://perfil.mercadolibre.com.uy/LIDERTEK+SRL,7,años,16921,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,12000,29,381,11590,"Centro, Montevideo.",NA,NA
VENTASUY IMPORTACIONES,http://perfil.mercadolibre.com.uy/VENTASUY+IMPORTACIONES,1,año,802,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,496,2,9,485,"Prado, Montevideo.",NA,NA
IMPOCAR SA,http://perfil.mercadolibre.com.uy/IMPOCAR+SA,16,años,1634,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1008,0,8,1000,"La Comercial, Montevideo.",NA,NA
AMVSTORE,http://perfil.mercadolibre.com.uy/AMVSTORE,6,años,17964,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,10706,29,180,10497,"Centro, Montevideo.",NA,NA
DISCBOX,http://perfil.mercadolibre.com.uy/DISCBOX,7,años,170,NA,NA,NA,112,0,0,112,"Centro, Montevideo.",NA,NA
LSTURUGUAY,http://perfil.mercadolibre.com.uy/LSTURUGUAY,8,años,25622,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,25965,87,1053,24825,"Tres Cruces, Montevideo.",NA,NA
ML Center Tienda oficial,http://perfil.mercadolibre.com.uy/MLCENTERUY?brandId=511,4,años,13266,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,7301,30,95,7176,"Tres Cruces, Montevideo.",NA,NA
RAMAN2013,http://perfil.mercadolibre.com.uy/RAMAN2013,6,años,1052,NA,NA,NA,814,4,43,767,"Pocitos, Montevideo.",NA,NA
PRECIOSMIAMI,http://perfil.mercadolibre.com.uy/PRECIOSMIAMI,3,años,25869,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,18494,223,611,17660,"Centro, Montevideo.",NA,NA
O TEC,http://perfil.mercadolibre.com.uy/O+TEC,5,años,12911,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,8662,2,100,8560,"Tres Cruces, Montevideo.",NA,NA
69 CASES,http://perfil.mercadolibre.com.uy/69+CASES,10,años,9395,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,5861,87,233,5541,"Cordón, Montevideo.",NA,NA
FUTUROXXI DIMM,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,12,años,91179,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,77032,1143,4393,71496,"Jacinto Vera, Montevideo.",NA,NA
VIKEI SA,http://perfil.mercadolibre.com.uy/VIKEI+SA,4,años,373,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,188,0,0,188,"Aguada, Montevideo.",NA,NA
NEPOLLUCH,http://perfil.mercadolibre.com.uy/NEPOLLUCH,7,años,297,NA,NA,NA,331,0,0,331,"Punta Carretas, Montevideo.",NA,NA
CLICSHOPURUGUAY,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,7,años,8388,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,5124,23,85,5016,"Tres Cruces, Montevideo.",NA,NA
DIGINET URUGUAY,http://perfil.mercadolibre.com.uy/DIGINET+URUGUAY,3,años,9146,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,5592,6,110,5476,"Centro, Montevideo.",NA,NA
MUNDOSHOP.UY,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,11,meses,1486,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,749,4,12,733,"La Comercial, Montevideo.",NA,NA
BLACKDOGELECTRONICS,http://perfil.mercadolibre.com.uy/BLACKDOGELECTRONICS,4,años,34295,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,27699,127,1082,26490,"Centro, Montevideo.",NA,NA
MASTERCASE CO,http://perfil.mercadolibre.com.uy/MASTERCASE+CO,2,años,72,NA,NA,NA,49,0,0,49,"Centro, Montevideo.",NA,NA
URUGUAYKIDS,http://perfil.mercadolibre.com.uy/URUGUAYKIDS,15,años,16567,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,9993,67,369,9557,"Centro, Montevideo.",NA,NA
IMPRESIONANTE -KUSA,http://perfil.mercadolibre.com.uy/IMPRESIONANTE+-KUSA,3,años,9877,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,6182,25,138,6019,"Goes, Montevideo.",NA,NA
MUNDODIGITAL880,http://perfil.mercadolibre.com.uy/MUNDODIGITAL880,10,años,1741,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1530,8,46,1476,"Pocitos Nuevo, Montevideo.",NA,NA
SERTEL_SHOP,http://perfil.mercadolibre.com.uy/SERTEL_SHOP,7,años,2627,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1666,15,71,1580,"Jacinto Vera, Montevideo.",NA,NA
