search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Conectores de entrada,Peso,Modelo,Potencia de salida (RMS),Altura,Tipos de filtros del parlante,Color
1, Parlante Bluetooth Soundcore 2 Select Anker ,32.99,49.990,333,8,6,5.498,NA,Envío gratis a todo el país,NA,NA,4.9,56,https://perfil.mercadolibre.cl/ANKERSTORE?brandId=188,https://articulo.mercadolibre.cl/MLC-455898956-parlante-bluetooth-soundcore-2-select-anker-_JM,51,4,1,0,0,#455898956,Anker,Auxiliar,360 g,NA,NA,NA,NA,NA
2, Parlante Ducha Bluetooth Portátil Agua Piscina 71603 Gocy ,2.89,NA,550,97843,6,482,NA,Envío a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/GOCY+EIRL,https://articulo.mercadolibre.cl/MLC-439441873-parlante-ducha-bluetooth-portatil-agua-piscina-71603-gocy-_JM,3,0,0,0,0,#439441873,Gocy,NA,NA,71603,3 W,9 cm,NA,NA
3, Amazon Echo Dot 3 Generación Alexa Español Latino Original ,33.99,69.990,170,25,6,5.665,NA,Envío gratis a todo el país,NA,NA,5,5,https://perfil.mercadolibre.cl/LOI+CHILE,https://articulo.mercadolibre.cl/MLC-482258081-amazon-echo-dot-3-generacion-alexa-espanol-latino-original-_JM,5,0,0,0,0,#482258081,Amazon,NA,NA,NA,NA,NA,NA,NA
4, Jbl Go2 Parlante Portátil Bluetooth Inalámbrico Impermeable ,24.99,29.990,343,27,6,4.165,NA,Envío gratis a todo el país,NA,NA,4.7,55,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-470706708-jbl-go2-parlante-portatil-bluetooth-inalambrico-impermeable-_JM,45,7,1,2,0,#470706708,JBL,NA,184 g,GO 2,3 W,NA,Activo,NA
5, Parlante Activo Ld Systems Maui5 Caja Line Array Bluetooth ,439,NA,4,10,12,36.583,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/XPRO.STORE,https://articulo.mercadolibre.cl/MLC-449031045-parlante-activo-ld-systems-maui5-caja-line-array-bluetooth-_JM,NA,NA,NA,NA,NA,#449031045,LD Systems,NA,NA,MAUI 5,NA,NA,NA,NA
6, Barra De Sonido Soundbar Bluetooth Sensewave Master G ,15,21.990,158,34,6,2.500,NA,Envío a todo el país,NA,NA,3.4,9,https://perfil.mercadolibre.cl/PROGLOBALCHILE,https://articulo.mercadolibre.cl/MLC-456354330-barra-de-sonido-soundbar-bluetooth-sensewave-master-g-_JM,4,1,1,1,2,#456354330,Master-G,NA,NA,Soundbar MGSB110,NA,NA,NA,NA
7, Jbl Flip 4 Parlante Bluetooth - Inetshop ,64.59,99.990,514,99,6,10.765,NA,Envío gratis a todo el país,NA,NA,4.8,73,https://perfil.mercadolibre.cl/INETSHOP_2011,https://articulo.mercadolibre.cl/MLC-457315838-jbl-flip-4-parlante-bluetooth-inetshop-_JM,63,6,2,0,1,#457315838,JBL,NA,515 g,Flip 4,16 W,NA,Activo,NA
8, Parlante Bluetooth Harman Kardon Onyx Studio 4 ,114.99,129.990,360,98,6,19.165,NA,Envío gratis a todo el país,NA,NA,4.9,48,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-448975270-parlante-bluetooth-harman-kardon-onyx-studio-4-_JM,46,1,1,0,0,#448975270,Harman Kardon,NA,NA,Onyx Studio 4,60 W,NA,Activo,NA
9, Parlante Bluetooth Inalambrico Impermeable Ducha Agua ,3.99,4.990,676,317,6,665,NA,Envío a todo el país,NA,NA,4.3,7,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-434759217-parlante-bluetooth-inalambrico-impermeable-ducha-agua-_JM,4,1,2,0,0,#434759217,NA,NA,NA,NA,NA,NA,NA,NA
10, Micrófono Karaoke Bluetooth Con Parlantes Inalámbrico Usb ,6.79,NA,178,122,12,566,NA,Envío a todo el país,NA,NA,4,4,https://perfil.mercadolibre.cl/HDFACTORY,https://articulo.mercadolibre.cl/MLC-457050245-microfono-karaoke-bluetooth-con-parlantes-inalambrico-usb-_JM,3,0,0,0,1,#457050245,NA,NA,NA,NA,NA,NA,NA,NA
